samplename	srx	srr	sex	strain	tissue	replicate	plate	row	col	group
orgR_AC_f_r1_SRR5639563	SRX2877963	SRR5639563	female	Oregon-R	abdomen_without_digestive_or_reproductive_system	1	2	D	5	female_abdomen_without_digestive_or_reproductive_system
orgR_AC_f_r2_SRR5639564	SRX2877964	SRR5639564	female	Oregon-R	abdomen_without_digestive_or_reproductive_system	2	2	D	7	female_abdomen_without_digestive_or_reproductive_system
orgR_AC_f_r3_SRR5639565	SRX2877965	SRR5639565	female	Oregon-R	abdomen_without_digestive_or_reproductive_system	3	2	D	8	female_abdomen_without_digestive_or_reproductive_system
orgR_AC_m_r1_SRR5639566	SRX2877966	SRR5639566	male	Oregon-R	abdomen_without_digestive_or_reproductive_system	1	2	D	1	male_abdomen_without_digestive_or_reproductive_system
orgR_AC_m_r2_SRR5639567	SRX2877967	SRR5639567	male	Oregon-R	abdomen_without_digestive_or_reproductive_system	2	2	D	3	male_abdomen_without_digestive_or_reproductive_system
orgR_AC_m_r3_SRR5639568	SRX2877968	SRR5639568	male	Oregon-R	abdomen_without_digestive_or_reproductive_system	3	2	D	4	male_abdomen_without_digestive_or_reproductive_system
orgR_DG_f_r1_SRR5639569	SRX2877969	SRR5639569	female	Oregon-R	digestive_plus_excretory_system	1	2	H	5	female_digestive_plus_excretory_system
orgR_DG_f_r2_SRR5639570	SRX2877970	SRR5639570	female	Oregon-R	digestive_plus_excretory_system	2	2	H	6	female_digestive_plus_excretory_system
orgR_DG_f_r3_SRR5639571	SRX2877971	SRR5639571	female	Oregon-R	digestive_plus_excretory_system	3	2	H	8	female_digestive_plus_excretory_system
orgR_DG_m_r1_SRR5639572	SRX2877972	SRR5639572	male	Oregon-R	digestive_plus_excretory_system	1	2	H	2	male_digestive_plus_excretory_system
orgR_DG_m_r2_SRR5639573	SRX2877973	SRR5639573	male	Oregon-R	digestive_plus_excretory_system	2	2	H	3	male_digestive_plus_excretory_system
orgR_DG_m_r3_SRR5639574	SRX2877974	SRR5639574	male	Oregon-R	digestive_plus_excretory_system	3	2	H	4	male_digestive_plus_excretory_system
orgR_GE_f_r1_SRR5639575	SRX2877975	SRR5639575	female	Oregon-R	genitalia	1	2	G	6	female_genitalia
orgR_GE_f_r2_SRR5639576	SRX2877976	SRR5639576	female	Oregon-R	genitalia	2	2	G	7	female_genitalia
orgR_GE_f_r3_SRR5639577	SRX2877977	SRR5639577	female	Oregon-R	genitalia	3	2	G	8	female_genitalia
orgR_GE_m_r1_SRR5639578	SRX2877978	SRR5639578	male	Oregon-R	genitalia	1	2	G	2	male_genitalia
orgR_GE_m_r2_SRR5639579	SRX2877979	SRR5639579	male	Oregon-R	genitalia	2	2	G	3	male_genitalia
orgR_GE_m_r3_SRR5639580	SRX2877980	SRR5639580	male	Oregon-R	genitalia	3	2	G	4	male_genitalia
orgR_GO_f_r1_SRR5639581	SRX2877981	SRR5639581	female	Oregon-R	ovary	1	2	E	5	female_ovary
orgR_GO_f_r2_SRR5639582	SRX2877982	SRR5639582	female	Oregon-R	ovary	2	2	E	6	female_ovary
orgR_GO_f_r3_SRR5639583	SRX2877983	SRR5639583	female	Oregon-R	ovary	3	2	E	8	female_ovary
orgR_GO_m_r1_SRR5639584	SRX2877984	SRR5639584	male	Oregon-R	testes	1	2	E	2	male_testes
orgR_GO_m_r2_SRR5639585	SRX2877985	SRR5639585	male	Oregon-R	testes	2	2	E	3	male_testes
orgR_GO_m_r3_SRR5639586	SRX2877986	SRR5639586	male	Oregon-R	testes	3	2	E	4	male_testes
orgR_HD_f_r1_SRR5639587	SRX2877987	SRR5639587	female	Oregon-R	head	1	2	B	5	female_head
orgR_HD_f_r2_SRR5639588	SRX2877988	SRR5639588	female	Oregon-R	head	2	2	B	6	female_head
orgR_HD_f_r3_SRR5639589	SRX2877989	SRR5639589	female	Oregon-R	head	3	2	B	7	female_head
orgR_HD_m_r1_SRR5639590	SRX2877990	SRR5639590	male	Oregon-R	head	1	2	B	1	male_head
orgR_HD_m_r2_SRR5639591	SRX2877991	SRR5639591	male	Oregon-R	head	2	2	B	3	male_head
orgR_HD_m_r3_SRR5639592	SRX2877992	SRR5639592	male	Oregon-R	head	3	2	B	4	male_head
orgR_RE_f_r1_SRR5639593	SRX2877993	SRR5639593	female	Oregon-R	reproductive_system_without_gonad_and_genitalia	1	2	F	5	female_reproductive_system_without_gonad_and_genitalia
orgR_RE_f_r2_SRR5639594	SRX2877994	SRR5639594	female	Oregon-R	reproductive_system_without_gonad_and_genitalia	2	2	F	6	female_reproductive_system_without_gonad_and_genitalia
orgR_RE_f_r3_SRR5639595	SRX2877995	SRR5639595	female	Oregon-R	reproductive_system_without_gonad_and_genitalia	3	2	F	8	female_reproductive_system_without_gonad_and_genitalia
orgR_RE_m_r1_SRR5639596	SRX2877996	SRR5639596	male	Oregon-R	reproductive_system_without_gonad_and_genitalia	1	2	F	1	male_reproductive_system_without_gonad_and_genitalia
orgR_RE_m_r2_SRR5639597	SRX2877997	SRR5639597	male	Oregon-R	reproductive_system_without_gonad_and_genitalia	2	2	F	3	male_reproductive_system_without_gonad_and_genitalia
orgR_RE_m_r3_SRR5639598	SRX2877998	SRR5639598	male	Oregon-R	reproductive_system_without_gonad_and_genitalia	3	2	F	4	male_reproductive_system_without_gonad_and_genitalia
orgR_TX_f_r1_SRR5639599	SRX2877999	SRR5639599	female	Oregon-R	thorax_without_digestive_system	1	2	C	5	female_thorax_without_digestive_system
orgR_TX_f_r2_SRR5639600	SRX2878000	SRR5639600	female	Oregon-R	thorax_without_digestive_system	2	2	C	7	female_thorax_without_digestive_system
orgR_TX_f_r3_SRR5639601	SRX2878001	SRR5639601	female	Oregon-R	thorax_without_digestive_system	3	2	C	8	female_thorax_without_digestive_system
orgR_TX_m_r1_SRR5639602	SRX2878002	SRR5639602	male	Oregon-R	thorax_without_digestive_system	1	2	C	2	male_thorax_without_digestive_system
orgR_TX_m_r2_SRR5639603	SRX2878003	SRR5639603	male	Oregon-R	thorax_without_digestive_system	2	2	C	3	male_thorax_without_digestive_system
orgR_TX_m_r3_SRR5639604	SRX2878004	SRR5639604	male	Oregon-R	thorax_without_digestive_system	3	2	C	4	male_thorax_without_digestive_system
orgR_WB_f_r1_SRR5639605	SRX2878005	SRR5639605	female	Oregon-R	whole_body	1	2	A	5	female_whole_body
orgR_WB_f_r2_SRR5639606	SRX2878006	SRR5639606	female	Oregon-R	whole_body	2	2	A	7	female_whole_body
orgR_WB_f_r3_SRR5639607	SRX2878007	SRR5639607	female	Oregon-R	whole_body	3	2	A	8	female_whole_body
orgR_WB_m_r1_SRR5639608	SRX2878008	SRR5639608	male	Oregon-R	whole_body	1	2	A	1	male_whole_body
orgR_WB_m_r2_SRR5639609	SRX2878009	SRR5639609	male	Oregon-R	whole_body	2	2	A	2	male_whole_body
orgR_WB_m_r3_SRR5639610	SRX2878010	SRR5639610	male	Oregon-R	whole_body	3	2	A	4	male_whole_body
w1118_AC_f_r1_SRR5639611	SRX2878011	SRR5639611	female	w1118	abdomen_without_digestive_or_reproductive_system	1	1	D	5	female_abdomen_without_digestive_or_reproductive_system
w1118_AC_f_r2_SRR5639612	SRX2878012	SRR5639612	female	w1118	abdomen_without_digestive_or_reproductive_system	2	1	D	6	female_abdomen_without_digestive_or_reproductive_system
w1118_AC_f_r3_SRR5639613	SRX2878013	SRR5639613	female	w1118	abdomen_without_digestive_or_reproductive_system	3	1	D	7	female_abdomen_without_digestive_or_reproductive_system
w1118_AC_m_r1_SRR5639614	SRX2878014	SRR5639614	male	w1118	abdomen_without_digestive_or_reproductive_system	1	1	D	1	male_abdomen_without_digestive_or_reproductive_system
w1118_AC_m_r2_SRR5639615	SRX2878015	SRR5639615	male	w1118	abdomen_without_digestive_or_reproductive_system	2	1	D	3	male_abdomen_without_digestive_or_reproductive_system
w1118_AC_m_r3_SRR5639616	SRX2878016	SRR5639616	male	w1118	abdomen_without_digestive_or_reproductive_system	3	1	D	4	male_abdomen_without_digestive_or_reproductive_system
w1118_DG_f_r1_SRR5639617	SRX2878017	SRR5639617	female	w1118	digestive_plus_excretory_system	1	1	H	6	female_digestive_plus_excretory_system
w1118_DG_f_r2_SRR5639618	SRX2878018	SRR5639618	female	w1118	digestive_plus_excretory_system	2	1	H	7	female_digestive_plus_excretory_system
w1118_DG_f_r3_SRR5639619	SRX2878019	SRR5639619	female	w1118	digestive_plus_excretory_system	3	1	H	8	female_digestive_plus_excretory_system
w1118_DG_m_r1_SRR5639620	SRX2878020	SRR5639620	male	w1118	digestive_plus_excretory_system	1	1	H	1	male_digestive_plus_excretory_system
w1118_DG_m_r2_SRR5639621	SRX2878021	SRR5639621	male	w1118	digestive_plus_excretory_system	2	1	H	2	male_digestive_plus_excretory_system
w1118_DG_m_r3_SRR5639622	SRX2878022	SRR5639622	male	w1118	digestive_plus_excretory_system	3	1	H	3	male_digestive_plus_excretory_system
w1118_GE_f_r1_SRR5639623	SRX2878023	SRR5639623	female	w1118	genitalia	1	1	G	5	female_genitalia
w1118_GE_f_r2_SRR5639624	SRX2878024	SRR5639624	female	w1118	genitalia	2	1	G	6	female_genitalia
w1118_GE_f_r3_SRR5639625	SRX2878025	SRR5639625	female	w1118	genitalia	3	1	G	8	female_genitalia
w1118_GE_m_r1_SRR5639626	SRX2878026	SRR5639626	male	w1118	genitalia	1	1	G	1	male_genitalia
w1118_GE_m_r2_SRR5639627	SRX2878027	SRR5639627	male	w1118	genitalia	2	1	G	2	male_genitalia
w1118_GE_m_r3_SRR5639628	SRX2878028	SRR5639628	male	w1118	genitalia	3	1	G	3	male_genitalia
w1118_GO_f_r1_SRR5639629	SRX2878029	SRR5639629	female	w1118	ovary	1	1	E	5	female_ovary
w1118_GO_f_r2_SRR5639630	SRX2878030	SRR5639630	female	w1118	ovary	2	1	E	7	female_ovary
w1118_GO_f_r3_SRR5639631	SRX2878031	SRR5639631	female	w1118	ovary	3	1	E	8	female_ovary
w1118_GO_m_r1_SRR5639632	SRX2878032	SRR5639632	male	w1118	testes	1	1	E	2	male_testes
w1118_GO_m_r2_SRR5639633	SRX2878033	SRR5639633	male	w1118	testes	2	1	E	3	male_testes
w1118_GO_m_r3_SRR5639634	SRX2878034	SRR5639634	male	w1118	testes	3	1	E	4	male_testes
w1118_HD_f_r1_SRR5639635	SRX2878035	SRR5639635	female	w1118	head	1	1	B	5	female_head
w1118_HD_f_r2_SRR5639636	SRX2878036	SRR5639636	female	w1118	head	2	1	B	7	female_head
w1118_HD_f_r3_SRR5639637	SRX2878037	SRR5639637	female	w1118	head	3	1	B	8	female_head
w1118_HD_m_r1_SRR5639638	SRX2878038	SRR5639638	male	w1118	head	1	1	B	2	male_head
w1118_HD_m_r2_SRR5639639	SRX2878039	SRR5639639	male	w1118	head	2	1	B	3	male_head
w1118_HD_m_r3_SRR5639640	SRX2878040	SRR5639640	male	w1118	head	3	1	B	4	male_head
w1118_RE_f_r1_SRR5639641	SRX2878041	SRR5639641	female	w1118	reproductive_system_without_gonad_and_genitalia	1	1	F	5	female_reproductive_system_without_gonad_and_genitalia
w1118_RE_f_r2_SRR5639642	SRX2878042	SRR5639642	female	w1118	reproductive_system_without_gonad_and_genitalia	2	1	F	7	female_reproductive_system_without_gonad_and_genitalia
w1118_RE_f_r3_SRR5639643	SRX2878043	SRR5639643	female	w1118	reproductive_system_without_gonad_and_genitalia	3	1	F	8	female_reproductive_system_without_gonad_and_genitalia
w1118_RE_m_r1_SRR5639644	SRX2878044	SRR5639644	male	w1118	reproductive_system_without_gonad_and_genitalia	1	1	F	1	male_reproductive_system_without_gonad_and_genitalia
w1118_RE_m_r2_SRR5639645	SRX2878045	SRR5639645	male	w1118	reproductive_system_without_gonad_and_genitalia	2	1	F	2	male_reproductive_system_without_gonad_and_genitalia
w1118_RE_m_r3_SRR5639646	SRX2878046	SRR5639646	male	w1118	reproductive_system_without_gonad_and_genitalia	3	1	F	3	male_reproductive_system_without_gonad_and_genitalia
w1118_TX_f_r1_SRR5639647	SRX2878047	SRR5639647	female	w1118	thorax_without_digestive_system	1	1	C	6	female_thorax_without_digestive_system
w1118_TX_f_r2_SRR5639648	SRX2878048	SRR5639648	female	w1118	thorax_without_digestive_system	2	1	C	7	female_thorax_without_digestive_system
w1118_TX_f_r3_SRR5639649	SRX2878049	SRR5639649	female	w1118	thorax_without_digestive_system	3	1	C	8	female_thorax_without_digestive_system
w1118_TX_m_r1_SRR5639650	SRX2878050	SRR5639650	male	w1118	thorax_without_digestive_system	1	1	C	1	male_thorax_without_digestive_system
w1118_TX_m_r2_SRR5639651	SRX2878051	SRR5639651	male	w1118	thorax_without_digestive_system	2	1	C	3	male_thorax_without_digestive_system
w1118_TX_m_r3_SRR5639652	SRX2878052	SRR5639652	male	w1118	thorax_without_digestive_system	3	1	C	4	male_thorax_without_digestive_system
w1118_WB_f_r1_SRR5639653	SRX2878053	SRR5639653	female	w1118	whole_body	1	1	A	5	female_whole_body
w1118_WB_f_r2_SRR5639654	SRX2878054	SRR5639654	female	w1118	whole_body	2	1	A	6	female_whole_body
w1118_WB_f_r3_SRR5639655	SRX2878055	SRR5639655	female	w1118	whole_body	3	1	A	8	female_whole_body
w1118_WB_m_r1_SRR5639656	SRX2878056	SRR5639656	male	w1118	whole_body	1	1	A	1	male_whole_body
w1118_WB_m_r2_SRR5639657	SRX2878057	SRR5639657	male	w1118	whole_body	2	1	A	2	male_whole_body
w1118_WB_m_r3_SRR5639658	SRX2878058	SRR5639658	male	w1118	whole_body	3	1	A	3	male_whole_body
orgR_AC_f_r4_SRR6181112	SRX3291720	SRR6181112	female	Oregon-R	abdomen_without_digestive_or_reproductive_system	4	2	D	6	female_abdomen_without_digestive_or_reproductive_system
orgR_AC_m_r4_SRR6181113	SRX3291721	SRR6181113	male	Oregon-R	abdomen_without_digestive_or_reproductive_system	4	2	D	2	male_abdomen_without_digestive_or_reproductive_system
orgR_DG_f_r4_SRR6181114	SRX3291722	SRR6181114	female	Oregon-R	digestive_plus_excretory_system	4	2	H	7	female_digestive_plus_excretory_system
orgR_DG_m_r4_SRR6181115	SRX3291723	SRR6181115	male	Oregon-R	digestive_plus_excretory_system	4	2	H	1	male_digestive_plus_excretory_system
orgR_GE_f_r4_SRR6181116	SRX3291724	SRR6181116	female	Oregon-R	genitalia	4	2	G	5	female_genitalia
orgR_GE_m_r4_SRR6181117	SRX3291725	SRR6181117	male	Oregon-R	genitalia	4	2	G	1	male_genitalia
orgR_GO_f_r4_SRR6181118	SRX3291726	SRR6181118	female	Oregon-R	ovary	4	2	E	7	female_ovary
orgR_GO_m_r4_SRR6181119	SRX3291727	SRR6181119	male	Oregon-R	testes	4	2	E	1	male_testes
orgR_HD_f_r4_SRR6181120	SRX3291728	SRR6181120	female	Oregon-R	head	4	2	B	8	female_head
orgR_HD_m_r4_SRR6181121	SRX3291729	SRR6181121	male	Oregon-R	head	4	2	B	2	male_head
orgR_RE_f_r4_SRR6181122	SRX3291730	SRR6181122	female	Oregon-R	reproductive_system_without_gonad_and_genitalia	4	2	F	7	female_reproductive_system_without_gonad_and_genitalia
orgR_RE_m_r4_SRR6181123	SRX3291731	SRR6181123	male	Oregon-R	reproductive_system_without_gonad_and_genitalia	4	2	F	2	male_reproductive_system_without_gonad_and_genitalia
orgR_TX_f_r4_SRR6181124	SRX3291732	SRR6181124	female	Oregon-R	thorax_without_digestive_system	4	2	C	6	female_thorax_without_digestive_system
orgR_TX_m_r4_SRR6181125	SRX3291733	SRR6181125	male	Oregon-R	thorax_without_digestive_system	4	2	C	1	male_thorax_without_digestive_system
orgR_WB_f_r4_SRR6181126	SRX3291734	SRR6181126	female	Oregon-R	whole_body	4	2	A	6	female_whole_body
orgR_WB_m_r4_SRR6181127	SRX3291735	SRR6181127	male	Oregon-R	whole_body	4	2	A	3	male_whole_body
w1118_AC_f_r4_SRR6181128	SRX3291736	SRR6181128	female	w1118	abdomen_without_digestive_or_reproductive_system	4	1	D	8	female_abdomen_without_digestive_or_reproductive_system
w1118_AC_m_r4_SRR6181129	SRX3291737	SRR6181129	male	w1118	abdomen_without_digestive_or_reproductive_system	4	1	D	2	male_abdomen_without_digestive_or_reproductive_system
w1118_DG_f_r4_SRR6181130	SRX3291738	SRR6181130	female	w1118	digestive_plus_excretory_system	4	1	H	5	female_digestive_plus_excretory_system
w1118_DG_m_r4_SRR6181131	SRX3291739	SRR6181131	male	w1118	digestive_plus_excretory_system	4	1	H	4	male_digestive_plus_excretory_system
w1118_GE_f_r4_SRR6181132	SRX3291740	SRR6181132	female	w1118	genitalia	4	1	G	7	female_genitalia
w1118_GE_m_r4_SRR6181133	SRX3291741	SRR6181133	male	w1118	genitalia	4	1	G	4	male_genitalia
w1118_GO_f_r4_SRR6181134	SRX3291742	SRR6181134	female	w1118	ovary	4	1	E	6	female_ovary
w1118_GO_m_r4_SRR6181135	SRX3291743	SRR6181135	male	w1118	testes	4	1	E	1	male_testes
w1118_HD_f_r4_SRR6181136	SRX3291744	SRR6181136	female	w1118	head	4	1	B	6	female_head
w1118_HD_m_r4_SRR6181137	SRX3291745	SRR6181137	male	w1118	head	4	1	B	1	male_head
w1118_RE_f_r4_SRR6181138	SRX3291746	SRR6181138	female	w1118	reproductive_system_without_gonad_and_genitalia	4	1	F	6	female_reproductive_system_without_gonad_and_genitalia
w1118_RE_m_r4_SRR6181139	SRX3291747	SRR6181139	male	w1118	reproductive_system_without_gonad_and_genitalia	4	1	F	4	male_reproductive_system_without_gonad_and_genitalia
w1118_TX_f_r4_SRR6181140	SRX3291748	SRR6181140	female	w1118	thorax_without_digestive_system	4	1	C	5	female_thorax_without_digestive_system
w1118_TX_m_r4_SRR6181141	SRX3291749	SRR6181141	male	w1118	thorax_without_digestive_system	4	1	C	2	male_thorax_without_digestive_system
w1118_WB_f_r4_SRR6181142	SRX3291750	SRR6181142	female	w1118	whole_body	4	1	A	7	female_whole_body
w1118_WB_m_r4_SRR6181143	SRX3291751	SRR6181143	male	w1118	whole_body	4	1	A	4	male_whole_body
