samplename	GSM	BioSample	SRX	species	FBsp	dev_stage	tissue	sex	rep	plate	row	col
dana_AC_f_r1	GSM2646960	SAMN07188058	SRX2877669	Drosophila ananassae	FBsp00000052	adult	abdomen without digestive or reproductive system	female	1	2	E	9
dana_AC_f_r2	GSM2646961	SAMN07188057	SRX2877670	Drosophila ananassae	FBsp00000052	adult	abdomen without digestive or reproductive system	female	2	2	E	10
dana_AC_f_r3	GSM2646962	SAMN07188325	SRX2877671	Drosophila ananassae	FBsp00000052	adult	abdomen without digestive or reproductive system	female	3	2	E	12
dana_AC_m_r1	GSM2646963	SAMN07188324	SRX2877672	Drosophila ananassae	FBsp00000052	adult	abdomen without digestive or reproductive system	male	1	1	E	9
dana_AC_m_r2	GSM2646964	SAMN07188323	SRX2877673	Drosophila ananassae	FBsp00000052	adult	abdomen without digestive or reproductive system	male	2	1	E	10
dana_AC_m_r3	GSM2646965	SAMN07188322	SRX2877674	Drosophila ananassae	FBsp00000052	adult	abdomen without digestive or reproductive system	male	3	1	E	12
dana_DG_f_r1	GSM2646966	SAMN07188321	SRX2877675	Drosophila ananassae	FBsp00000052	adult	digestive plus excretory system	female	1	2	H	9
dana_DG_f_r2	GSM2646967	SAMN07188320	SRX2877676	Drosophila ananassae	FBsp00000052	adult	digestive plus excretory system	female	2	2	H	11
dana_DG_f_r3	GSM2646968	SAMN07188319	SRX2877677	Drosophila ananassae	FBsp00000052	adult	digestive plus excretory system	female	3	2	H	12
dana_DG_m_r1	GSM2646969	SAMN07188318	SRX2877678	Drosophila ananassae	FBsp00000052	adult	digestive plus excretory system	male	1	1	H	9
dana_DG_m_r2	GSM2646970	SAMN07188317	SRX2877679	Drosophila ananassae	FBsp00000052	adult	digestive plus excretory system	male	2	1	H	11
dana_DG_m_r3	GSM2646971	SAMN07188311	SRX2877680	Drosophila ananassae	FBsp00000052	adult	digestive plus excretory system	male	3	1	H	12
dana_GO_f_r1	GSM2646972	SAMN07188310	SRX2877681	Drosophila ananassae	FBsp00000052	adult	gonad	female	1	2	F	9
dana_GO_f_r2	GSM2646973	SAMN07188316	SRX2877682	Drosophila ananassae	FBsp00000052	adult	gonad	female	2	2	F	11
dana_GO_f_r3	GSM2646974	SAMN07188315	SRX2877683	Drosophila ananassae	FBsp00000052	adult	gonad	female	3	2	F	12
dana_GO_m_r1	GSM2646975	SAMN07188314	SRX2877684	Drosophila ananassae	FBsp00000052	adult	gonad	male	1	1	F	9
dana_GO_m_r2	GSM2646976	SAMN07188313	SRX2877685	Drosophila ananassae	FBsp00000052	adult	gonad	male	2	1	F	10
dana_GO_m_r3	GSM2646977	SAMN07188312	SRX2877686	Drosophila ananassae	FBsp00000052	adult	gonad	male	3	1	F	12
dana_HD_f_r1	GSM2646978	SAMN07188309	SRX2877687	Drosophila ananassae	FBsp00000052	adult	head	female	1	2	B	9
dana_HD_f_r2	GSM2646979	SAMN07188308	SRX2877688	Drosophila ananassae	FBsp00000052	adult	head	female	2	2	B	10
dana_HD_f_r3	GSM2646980	SAMN07188307	SRX2877689	Drosophila ananassae	FBsp00000052	adult	head	female	3	2	B	12
dana_HD_m_r1	GSM2646981	SAMN07188306	SRX2877690	Drosophila ananassae	FBsp00000052	adult	head	male	1	1	B	9
dana_HD_m_r2	GSM2646982	SAMN07188305	SRX2877691	Drosophila ananassae	FBsp00000052	adult	head	male	2	1	B	10
dana_HD_m_r3	GSM2646983	SAMN07188304	SRX2877692	Drosophila ananassae	FBsp00000052	adult	head	male	3	1	B	12
dana_RE_f_r1	GSM2646984	SAMN07188303	SRX2877693	Drosophila ananassae	FBsp00000052	adult	reproductive system without gonad	female	1	2	G	9
dana_RE_f_r2	GSM2646985	SAMN07188302	SRX2877694	Drosophila ananassae	FBsp00000052	adult	reproductive system without gonad	female	2	2	G	11
dana_RE_f_r3	GSM2646986	SAMN07188301	SRX2877695	Drosophila ananassae	FBsp00000052	adult	reproductive system without gonad	female	3	2	G	12
dana_RE_m_r1	GSM2646987	SAMN07188300	SRX2877696	Drosophila ananassae	FBsp00000052	adult	reproductive system without gonad	male	1	1	G	10
dana_RE_m_r2	GSM2646988	SAMN07188299	SRX2877697	Drosophila ananassae	FBsp00000052	adult	reproductive system without gonad	male	2	1	G	11
dana_RE_m_r3	GSM2646989	SAMN07188298	SRX2877698	Drosophila ananassae	FBsp00000052	adult	reproductive system without gonad	male	3	1	G	12
dana_TX_f_r1	GSM2646990	SAMN07188297	SRX2877699	Drosophila ananassae	FBsp00000052	adult	thorax without digestive system	female	1	2	D	9
dana_TX_f_r2	GSM2646991	SAMN07188296	SRX2877700	Drosophila ananassae	FBsp00000052	adult	thorax without digestive system	female	2	2	D	10
dana_TX_f_r3	GSM2646992	SAMN07187898	SRX2877701	Drosophila ananassae	FBsp00000052	adult	thorax without digestive system	female	3	2	D	11
dana_TX_m_r1	GSM2646993	SAMN07187897	SRX2877702	Drosophila ananassae	FBsp00000052	adult	thorax without digestive system	male	1	1	D	9
dana_TX_m_r2	GSM2646994	SAMN07187896	SRX2877703	Drosophila ananassae	FBsp00000052	adult	thorax without digestive system	male	2	1	D	11
dana_TX_m_r3	GSM2646995	SAMN07187895	SRX2877704	Drosophila ananassae	FBsp00000052	adult	thorax without digestive system	male	3	1	D	12
dana_WB_f_r1	GSM2646996	SAMN07187894	SRX2877705	Drosophila ananassae	FBsp00000052	adult	whole body	female	1	2	A	9
dana_WB_f_r2	GSM2646997	SAMN07187893	SRX2877706	Drosophila ananassae	FBsp00000052	adult	whole body	female	2	2	A	10
dana_WB_f_r3	GSM2646998	SAMN07187892	SRX2877707	Drosophila ananassae	FBsp00000052	adult	whole body	female	3	2	A	12
dana_WB_m_r1	GSM2646999	SAMN07187891	SRX2877708	Drosophila ananassae	FBsp00000052	adult	whole body	male	1	1	A	9
dana_WB_m_r2	GSM2647000	SAMN07187890	SRX2877709	Drosophila ananassae	FBsp00000052	adult	whole body	male	2	1	A	10
dana_WB_m_r3	GSM2647001	SAMN07187966	SRX2877710	Drosophila ananassae	FBsp00000052	adult	whole body	male	3	1	A	11
dmoj_AC_f_r1	GSM2647002	SAMN07187965	SRX2877711	Drosophila mojavensis	FBsp00000160	adult	abdomen without digestive or reproductive system	female	1	2	D	5
dmoj_AC_f_r2	GSM2647003	SAMN07187964	SRX2877712	Drosophila mojavensis	FBsp00000160	adult	abdomen without digestive or reproductive system	female	2	2	D	7
dmoj_AC_f_r3	GSM2647004	SAMN07187963	SRX2877713	Drosophila mojavensis	FBsp00000160	adult	abdomen without digestive or reproductive system	female	3	2	D	8
dmoj_AC_m_r1	GSM2647005	SAMN07187962	SRX2877714	Drosophila mojavensis	FBsp00000160	adult	abdomen without digestive or reproductive system	male	1	2	D	1
dmoj_AC_m_r2	GSM2647006	SAMN07187961	SRX2877715	Drosophila mojavensis	FBsp00000160	adult	abdomen without digestive or reproductive system	male	2	2	D	3
dmoj_AC_m_r3	GSM2647007	SAMN07187960	SRX2877716	Drosophila mojavensis	FBsp00000160	adult	abdomen without digestive or reproductive system	male	3	2	D	4
dmoj_DG_f_r1	GSM2647008	SAMN07187959	SRX2877717	Drosophila mojavensis	FBsp00000160	adult	digestive plus excretory system	female	1	2	H	5
dmoj_DG_f_r2	GSM2647009	SAMN07187958	SRX2877718	Drosophila mojavensis	FBsp00000160	adult	digestive plus excretory system	female	2	2	H	6
dmoj_DG_f_r3	GSM2647010	SAMN07187957	SRX2877719	Drosophila mojavensis	FBsp00000160	adult	digestive plus excretory system	female	3	2	H	8
dmoj_DG_m_r1	GSM2647011	SAMN07187956	SRX2877720	Drosophila mojavensis	FBsp00000160	adult	digestive plus excretory system	male	1	2	H	2
dmoj_DG_m_r2	GSM2647012	SAMN07187955	SRX2877721	Drosophila mojavensis	FBsp00000160	adult	digestive plus excretory system	male	2	2	H	3
dmoj_DG_m_r3	GSM2647013	SAMN07187954	SRX2877722	Drosophila mojavensis	FBsp00000160	adult	digestive plus excretory system	male	3	2	H	4
dmoj_GO_f_r1	GSM2647014	SAMN07187953	SRX2877723	Drosophila mojavensis	FBsp00000160	adult	gonad	female	1	2	E	5
dmoj_GO_f_r2	GSM2647015	SAMN07187952	SRX2877724	Drosophila mojavensis	FBsp00000160	adult	gonad	female	2	2	E	6
dmoj_GO_f_r3	GSM2647016	SAMN07187951	SRX2877725	Drosophila mojavensis	FBsp00000160	adult	gonad	female	3	2	E	8
dmoj_GO_m_r1	GSM2647017	SAMN07187950	SRX2877726	Drosophila mojavensis	FBsp00000160	adult	gonad	male	1	2	E	2
dmoj_GO_m_r2	GSM2647018	SAMN07187949	SRX2877727	Drosophila mojavensis	FBsp00000160	adult	gonad	male	2	2	E	3
dmoj_GO_m_r3	GSM2647019	SAMN07187948	SRX2877728	Drosophila mojavensis	FBsp00000160	adult	gonad	male	3	2	E	4
dmoj_HD_f_r1	GSM2647020	SAMN07187947	SRX2877729	Drosophila mojavensis	FBsp00000160	adult	head	female	1	2	B	5
dmoj_HD_f_r2	GSM2647021	SAMN07187946	SRX2877730	Drosophila mojavensis	FBsp00000160	adult	head	female	2	2	B	6
dmoj_HD_f_r3	GSM2647022	SAMN07188430	SRX2877731	Drosophila mojavensis	FBsp00000160	adult	head	female	3	2	B	7
dmoj_HD_m_r1	GSM2647023	SAMN07188429	SRX2877732	Drosophila mojavensis	FBsp00000160	adult	head	male	1	2	B	1
dmoj_HD_m_r2	GSM2647024	SAMN07188428	SRX2877733	Drosophila mojavensis	FBsp00000160	adult	head	male	2	2	B	3
dmoj_HD_m_r3	GSM2647025	SAMN07188427	SRX2877734	Drosophila mojavensis	FBsp00000160	adult	head	male	3	2	B	4
dmoj_RE_f_r1	GSM2647026	SAMN07188426	SRX2877735	Drosophila mojavensis	FBsp00000160	adult	reproductive system without gonad	female	1	2	F	5
dmoj_RE_f_r2	GSM2647027	SAMN07188425	SRX2877736	Drosophila mojavensis	FBsp00000160	adult	reproductive system without gonad	female	2	2	F	6
dmoj_RE_f_r3	GSM2647028	SAMN07188424	SRX2877737	Drosophila mojavensis	FBsp00000160	adult	reproductive system without gonad	female	3	2	F	8
dmoj_RE_m_r1	GSM2647029	SAMN07188420	SRX2877738	Drosophila mojavensis	FBsp00000160	adult	reproductive system without gonad	male	1	2	F	1
dmoj_RE_m_r2	GSM2647030	SAMN07188419	SRX2877739	Drosophila mojavensis	FBsp00000160	adult	reproductive system without gonad	male	2	2	F	3
dmoj_RE_m_r3	GSM2647031	SAMN07188418	SRX2877740	Drosophila mojavensis	FBsp00000160	adult	reproductive system without gonad	male	3	2	F	4
dmoj_TX_f_r1	GSM2647032	SAMN07188417	SRX2877741	Drosophila mojavensis	FBsp00000160	adult	thorax without digestive system	female	1	2	C	5
dmoj_TX_f_r2	GSM2647033	SAMN07188423	SRX2877742	Drosophila mojavensis	FBsp00000160	adult	thorax without digestive system	female	2	2	C	7
dmoj_TX_f_r3	GSM2647034	SAMN07188422	SRX2877743	Drosophila mojavensis	FBsp00000160	adult	thorax without digestive system	female	3	2	C	8
dmoj_TX_m_r1	GSM2647035	SAMN07188421	SRX2877744	Drosophila mojavensis	FBsp00000160	adult	thorax without digestive system	male	1	2	C	2
dmoj_TX_m_r2	GSM2647036	SAMN07188416	SRX2877745	Drosophila mojavensis	FBsp00000160	adult	thorax without digestive system	male	2	2	C	3
dmoj_TX_m_r3	GSM2647037	SAMN07188415	SRX2877746	Drosophila mojavensis	FBsp00000160	adult	thorax without digestive system	male	3	2	C	4
dmoj_WB_f_r1	GSM2647038	SAMN07188414	SRX2877747	Drosophila mojavensis	FBsp00000160	adult	whole body	female	1	2	A	5
dmoj_WB_f_r2	GSM2647039	SAMN07188413	SRX2877748	Drosophila mojavensis	FBsp00000160	adult	whole body	female	2	2	A	7
dmoj_WB_f_r3	GSM2647040	SAMN07188412	SRX2877749	Drosophila mojavensis	FBsp00000160	adult	whole body	female	3	2	A	8
dmoj_WB_m_r1	GSM2647041	SAMN07188411	SRX2877750	Drosophila mojavensis	FBsp00000160	adult	whole body	male	1	2	A	1
dmoj_WB_m_r2	GSM2647042	SAMN07188410	SRX2877751	Drosophila mojavensis	FBsp00000160	adult	whole body	male	2	2	A	2
dmoj_WB_m_r3	GSM2647043	SAMN07188487	SRX2877752	Drosophila mojavensis	FBsp00000160	adult	whole body	male	3	2	A	4
dper_AC_f_r1	GSM2647044	SAMN07188486	SRX2877753	Drosophila persimilis	FBsp00000188	adult	abdomen without digestive or reproductive system	female	1	2	D	5
dper_AC_f_r2	GSM2647045	SAMN07188485	SRX2877754	Drosophila persimilis	FBsp00000188	adult	abdomen without digestive or reproductive system	female	2	2	D	7
dper_AC_f_r3	GSM2647046	SAMN07188484	SRX2877755	Drosophila persimilis	FBsp00000188	adult	abdomen without digestive or reproductive system	female	3	2	D	8
dper_AC_m_r1	GSM2647047	SAMN07188483	SRX2877756	Drosophila persimilis	FBsp00000188	adult	abdomen without digestive or reproductive system	male	1	2	D	1
dper_AC_m_r2	GSM2647048	SAMN07188482	SRX2877757	Drosophila persimilis	FBsp00000188	adult	abdomen without digestive or reproductive system	male	2	2	D	3
dper_AC_m_r3	GSM2647049	SAMN07188481	SRX2877758	Drosophila persimilis	FBsp00000188	adult	abdomen without digestive or reproductive system	male	3	2	D	4
dper_DG_f_r1	GSM2647050	SAMN07188480	SRX2877759	Drosophila persimilis	FBsp00000188	adult	digestive plus excretory system	female	1	2	H	5
dper_DG_f_r2	GSM2647051	SAMN07188479	SRX2877760	Drosophila persimilis	FBsp00000188	adult	digestive plus excretory system	female	2	2	H	6
dper_DG_f_r3	GSM2647052	SAMN07188478	SRX2877761	Drosophila persimilis	FBsp00000188	adult	digestive plus excretory system	female	3	2	H	8
dper_DG_m_r1	GSM2647053	SAMN07188477	SRX2877762	Drosophila persimilis	FBsp00000188	adult	digestive plus excretory system	male	1	2	H	2
dper_DG_m_r2	GSM2647054	SAMN07188448	SRX2877763	Drosophila persimilis	FBsp00000188	adult	digestive plus excretory system	male	2	2	H	3
dper_DG_m_r3	GSM2647055	SAMN07188447	SRX2877764	Drosophila persimilis	FBsp00000188	adult	digestive plus excretory system	male	3	2	H	4
dper_GO_f_r1	GSM2647056	SAMN07188531	SRX2877765	Drosophila persimilis	FBsp00000188	adult	gonad	female	1	2	E	5
dper_GO_f_r2	GSM2647057	SAMN07188530	SRX2877766	Drosophila persimilis	FBsp00000188	adult	gonad	female	2	2	E	6
dper_GO_f_r3	GSM2647058	SAMN07188529	SRX2877767	Drosophila persimilis	FBsp00000188	adult	gonad	female	3	2	E	8
dper_GO_m_r1	GSM2647059	SAMN07188528	SRX2877768	Drosophila persimilis	FBsp00000188	adult	gonad	male	1	2	E	2
dper_GO_m_r2	GSM2647060	SAMN07188527	SRX2877769	Drosophila persimilis	FBsp00000188	adult	gonad	male	2	2	E	3
dper_GO_m_r3	GSM2647061	SAMN07188526	SRX2877770	Drosophila persimilis	FBsp00000188	adult	gonad	male	3	2	E	4
dper_HD_f_r1	GSM2647062	SAMN07188525	SRX2877771	Drosophila persimilis	FBsp00000188	adult	head	female	1	2	B	5
dper_HD_f_r2	GSM2647063	SAMN07188524	SRX2877772	Drosophila persimilis	FBsp00000188	adult	head	female	2	2	B	6
dper_HD_f_r3	GSM2647064	SAMN07188523	SRX2877773	Drosophila persimilis	FBsp00000188	adult	head	female	3	2	B	7
dper_HD_m_r1	GSM2647065	SAMN07188522	SRX2877774	Drosophila persimilis	FBsp00000188	adult	head	male	1	2	B	1
dper_HD_m_r2	GSM2647066	SAMN07188521	SRX2877775	Drosophila persimilis	FBsp00000188	adult	head	male	2	2	B	3
dper_HD_m_r3	GSM2647067	SAMN07188520	SRX2877776	Drosophila persimilis	FBsp00000188	adult	head	male	3	2	B	4
dper_RE_f_r1	GSM2647068	SAMN07188519	SRX2877777	Drosophila persimilis	FBsp00000188	adult	reproductive system without gonad	female	1	2	F	5
dper_RE_f_r2	GSM2647069	SAMN07188518	SRX2877778	Drosophila persimilis	FBsp00000188	adult	reproductive system without gonad	female	2	2	F	6
dper_RE_f_r3	GSM2647070	SAMN07188517	SRX2877779	Drosophila persimilis	FBsp00000188	adult	reproductive system without gonad	female	3	2	F	8
dper_RE_m_r1	GSM2647071	SAMN07188516	SRX2877780	Drosophila persimilis	FBsp00000188	adult	reproductive system without gonad	male	1	2	F	1
dper_RE_m_r2	GSM2647072	SAMN07188515	SRX2877781	Drosophila persimilis	FBsp00000188	adult	reproductive system without gonad	male	2	2	F	3
dper_RE_m_r3	GSM2647073	SAMN07188514	SRX2877782	Drosophila persimilis	FBsp00000188	adult	reproductive system without gonad	male	3	2	F	4
dper_TX_f_r1	GSM2647074	SAMN07188513	SRX2877783	Drosophila persimilis	FBsp00000188	adult	thorax without digestive system	female	1	2	C	5
dper_TX_f_r2	GSM2647075	SAMN07188512	SRX2877784	Drosophila persimilis	FBsp00000188	adult	thorax without digestive system	female	2	2	C	7
dper_TX_f_r3	GSM2647076	SAMN07188511	SRX2877785	Drosophila persimilis	FBsp00000188	adult	thorax without digestive system	female	3	2	C	8
dper_TX_m_r1	GSM2647077	SAMN07188510	SRX2877786	Drosophila persimilis	FBsp00000188	adult	thorax without digestive system	male	1	2	C	2
dper_TX_m_r2	GSM2647078	SAMN07188509	SRX2877787	Drosophila persimilis	FBsp00000188	adult	thorax without digestive system	male	2	2	C	3
dper_TX_m_r3	GSM2647079	SAMN07188508	SRX2877788	Drosophila persimilis	FBsp00000188	adult	thorax without digestive system	male	3	2	C	4
dper_WB_f_r1	GSM2647080	SAMN07188507	SRX2877789	Drosophila persimilis	FBsp00000188	adult	whole body	female	1	2	A	5
dper_WB_f_r2	GSM2647081	SAMN07188506	SRX2877790	Drosophila persimilis	FBsp00000188	adult	whole body	female	2	2	A	7
dper_WB_f_r3	GSM2647082	SAMN07188505	SRX2877791	Drosophila persimilis	FBsp00000188	adult	whole body	female	3	2	A	8
dper_WB_m_r1	GSM2647083	SAMN07188504	SRX2877792	Drosophila persimilis	FBsp00000188	adult	whole body	male	1	2	A	1
dper_WB_m_r2	GSM2647084	SAMN07188503	SRX2877793	Drosophila persimilis	FBsp00000188	adult	whole body	male	2	2	A	2
dper_WB_m_r3	GSM2647085	SAMN07188502	SRX2877794	Drosophila persimilis	FBsp00000188	adult	whole body	male	3	2	A	4
dpse_AC_f_r1	GSM2647086	SAMN07188501	SRX2877795	Drosophila pseudoobscura	FBsp00000201	adult	abdomen without digestive or reproductive system	female	1	1	D	5
dpse_AC_f_r2	GSM2647087	SAMN07188500	SRX2877796	Drosophila pseudoobscura	FBsp00000201	adult	abdomen without digestive or reproductive system	female	2	1	D	6
dpse_AC_f_r3	GSM2647088	SAMN07188499	SRX2877797	Drosophila pseudoobscura	FBsp00000201	adult	abdomen without digestive or reproductive system	female	3	1	D	7
dpse_AC_m_r1	GSM2647089	SAMN07188498	SRX2877798	Drosophila pseudoobscura	FBsp00000201	adult	abdomen without digestive or reproductive system	male	1	1	D	1
dpse_AC_m_r2	GSM2647090	SAMN07188497	SRX2877799	Drosophila pseudoobscura	FBsp00000201	adult	abdomen without digestive or reproductive system	male	2	1	D	3
dpse_AC_m_r3	GSM2647091	SAMN07188491	SRX2877800	Drosophila pseudoobscura	FBsp00000201	adult	abdomen without digestive or reproductive system	male	3	1	D	4
dpse_DG_f_r1	GSM2647092	SAMN07188490	SRX2877801	Drosophila pseudoobscura	FBsp00000201	adult	digestive plus excretory system	female	1	1	H	6
dpse_DG_f_r2	GSM2647093	SAMN07188496	SRX2877802	Drosophila pseudoobscura	FBsp00000201	adult	digestive plus excretory system	female	2	1	H	7
dpse_DG_f_r3	GSM2647094	SAMN07188495	SRX2877803	Drosophila pseudoobscura	FBsp00000201	adult	digestive plus excretory system	female	3	1	H	8
dpse_DG_m_r1	GSM2647095	SAMN07188494	SRX2877804	Drosophila pseudoobscura	FBsp00000201	adult	digestive plus excretory system	male	1	1	H	1
dpse_DG_m_r2	GSM2647096	SAMN07188493	SRX2877805	Drosophila pseudoobscura	FBsp00000201	adult	digestive plus excretory system	male	2	1	H	2
dpse_DG_m_r3	GSM2647097	SAMN07188492	SRX2877806	Drosophila pseudoobscura	FBsp00000201	adult	digestive plus excretory system	male	3	1	H	3
dpse_GO_f_r1	GSM2647098	SAMN07188489	SRX2877807	Drosophila pseudoobscura	FBsp00000201	adult	gonad	female	1	1	E	5
dpse_GO_f_r2	GSM2647099	SAMN07188488	SRX2877808	Drosophila pseudoobscura	FBsp00000201	adult	gonad	female	2	1	E	7
dpse_GO_f_r3	GSM2647100	SAMN07188584	SRX2877809	Drosophila pseudoobscura	FBsp00000201	adult	gonad	female	3	1	E	8
dpse_GO_m_r1	GSM2647101	SAMN07188583	SRX2877810	Drosophila pseudoobscura	FBsp00000201	adult	gonad	male	1	1	E	2
dpse_GO_m_r2	GSM2647102	SAMN07188582	SRX2877811	Drosophila pseudoobscura	FBsp00000201	adult	gonad	male	2	1	E	3
dpse_GO_m_r3	GSM2647103	SAMN07188581	SRX2877812	Drosophila pseudoobscura	FBsp00000201	adult	gonad	male	3	1	E	4
dpse_HD_f_r1	GSM2647104	SAMN07188580	SRX2877813	Drosophila pseudoobscura	FBsp00000201	adult	head	female	1	1	B	5
dpse_HD_f_r2	GSM2647105	SAMN07188579	SRX2877814	Drosophila pseudoobscura	FBsp00000201	adult	head	female	2	1	B	7
dpse_HD_f_r3	GSM2647106	SAMN07188578	SRX2877815	Drosophila pseudoobscura	FBsp00000201	adult	head	female	3	1	B	8
dpse_HD_m_r1	GSM2647107	SAMN07188577	SRX2877816	Drosophila pseudoobscura	FBsp00000201	adult	head	male	1	1	B	2
dpse_HD_m_r2	GSM2647108	SAMN07188576	SRX2877817	Drosophila pseudoobscura	FBsp00000201	adult	head	male	2	1	B	3
dpse_HD_m_r3	GSM2647109	SAMN07188575	SRX2877818	Drosophila pseudoobscura	FBsp00000201	adult	head	male	3	1	B	4
dpse_RE_f_r1	GSM2647110	SAMN07188574	SRX2877819	Drosophila pseudoobscura	FBsp00000201	adult	reproductive system without gonad	female	1	1	F	5
dpse_RE_f_r2	GSM2647111	SAMN07188573	SRX2877820	Drosophila pseudoobscura	FBsp00000201	adult	reproductive system without gonad	female	2	1	F	7
dpse_RE_f_r3	GSM2647112	SAMN07188572	SRX2877821	Drosophila pseudoobscura	FBsp00000201	adult	reproductive system without gonad	female	3	1	F	8
dpse_RE_m_r1	GSM2647113	SAMN07188571	SRX2877822	Drosophila pseudoobscura	FBsp00000201	adult	reproductive system without gonad	male	1	1	F	1
dpse_RE_m_r2	GSM2647114	SAMN07188570	SRX2877823	Drosophila pseudoobscura	FBsp00000201	adult	reproductive system without gonad	male	2	1	F	2
dpse_RE_m_r3	GSM2647115	SAMN07188569	SRX2877824	Drosophila pseudoobscura	FBsp00000201	adult	reproductive system without gonad	male	3	1	F	3
dpse_TX_f_r1	GSM2647116	SAMN07188568	SRX2877825	Drosophila pseudoobscura	FBsp00000201	adult	thorax without digestive system	female	1	1	C	6
dpse_TX_f_r2	GSM2647117	SAMN07188567	SRX2877826	Drosophila pseudoobscura	FBsp00000201	adult	thorax without digestive system	female	2	1	C	7
dpse_TX_f_r3	GSM2647118	SAMN07188566	SRX2877827	Drosophila pseudoobscura	FBsp00000201	adult	thorax without digestive system	female	3	1	C	8
dpse_TX_m_r1	GSM2647119	SAMN07188565	SRX2877828	Drosophila pseudoobscura	FBsp00000201	adult	thorax without digestive system	male	1	1	C	1
dpse_TX_m_r2	GSM2647120	SAMN07188564	SRX2877829	Drosophila pseudoobscura	FBsp00000201	adult	thorax without digestive system	male	2	1	C	3
dpse_TX_m_r3	GSM2647121	SAMN07188563	SRX2877830	Drosophila pseudoobscura	FBsp00000201	adult	thorax without digestive system	male	3	1	C	4
dpse_WB_f_r1	GSM2647122	SAMN07188562	SRX2877831	Drosophila pseudoobscura	FBsp00000201	adult	whole body	female	1	1	A	5
dpse_WB_f_r2	GSM2647123	SAMN07188561	SRX2877832	Drosophila pseudoobscura	FBsp00000201	adult	whole body	female	2	1	A	6
dpse_WB_f_r3	GSM2647124	SAMN07188560	SRX2877833	Drosophila pseudoobscura	FBsp00000201	adult	whole body	female	3	1	A	8
dpse_WB_m_r1	GSM2647125	SAMN07188559	SRX2877834	Drosophila pseudoobscura	FBsp00000201	adult	whole body	male	1	1	A	1
dpse_WB_m_r2	GSM2647126	SAMN07188558	SRX2877835	Drosophila pseudoobscura	FBsp00000201	adult	whole body	male	2	1	A	2
dpse_WB_m_r3	GSM2647127	SAMN07188557	SRX2877836	Drosophila pseudoobscura	FBsp00000201	adult	whole body	male	3	1	A	3
dvir_AC_f_r1	GSM2647128	SAMN07188556	SRX2877837	Drosophila virilis	FBsp00000251	adult	abdomen without digestive or reproductive system	female	1	1	D	5
dvir_AC_f_r2	GSM2647129	SAMN07188555	SRX2877838	Drosophila virilis	FBsp00000251	adult	abdomen without digestive or reproductive system	female	2	1	D	6
dvir_AC_f_r3	GSM2647130	SAMN07188554	SRX2877839	Drosophila virilis	FBsp00000251	adult	abdomen without digestive or reproductive system	female	3	1	D	7
